[6 , 6] , 34 , [0 , 4]
[3 , 0] , 28 , [0 , 7]
[4 , 0] , 28 , [1 , 7]
[7 , 4] , 40 , [4 , 7]
[1 , 7] , 40 , [0 , 4]
[6 , 3] , 25 , [1 , 7]
[3 , 6] , 33 , [7 , 7]
[6 , 4] , 34 , [0 , 4]
[4 , 7] , 33 , [0 , 4]
[6 , 5] , 35 , [1 , 7]
[2 , 2] , 43 , [7 , 4]
[0 , 0] , 28 , [1 , 7]
[2 , 0] , 28 , [0 , 4]
[2 , 1] , 27 , [1 , 7]
[5 , 3] , 25 , [0 , 7]
[5 , 1] , 27 , [0 , 7]
[3 , 4] , 24 , [0 , 7]
[1 , 1] , 27 , [0 , 7]
[3 , 5] , 45 , [7 , 4]
[0 , 1] , 27 , [0 , 4]
[4 , 1] , 27 , [0 , 4]
[7 , 5] , 45 , [7 , 4]
[3 , 1] , 18 , [0 , 0]
[3 , 3] , 34 , [1 , 7]
[4 , 2] , 26 , [1 , 7]
[2 , 7] , 35 , [1 , 7]
[4 , 6] , 34 , [1 , 7]
[3 , 1] , 18 , [0 , 0]
[5 , 6] , 29 , [0 , 4]
[4 , 2] , 26 , [1 , 7]
[7 , 6] , 40 , [4 , 7]
[4 , 2] , 26 , [1 , 7]
[2 , 6] , 36 , [0 , 4]
[7 , 0] , 28 , [0 , 7]
[4 , 6] , 34 , [1 , 7]
[1 , 6] , 29 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
[5 , 1] , 27 , [0 , 7]
[4 , 2] , 26 , [1 , 7]
[2 , 0] , 28 , [0 , 4]
[6 , 2] , 36 , [0 , 4]
[1 , 5] , 40 , [0 , 4]
[7 , 5] , 45 , [7 , 4]
[4 , 2] , 26 , [1 , 7]
[4 , 5] , 33 , [0 , 4]
[7 , 6] , 40 , [4 , 7]
[3 , 6] , 33 , [7 , 7]
[4 , 6] , 34 , [1 , 7]
[2 , 6] , 36 , [0 , 4]
[6 , 6] , 34 , [0 , 4]
[2 , 4] , 46 , [0 , 4]
[0 , 6] , 34 , [1 , 7]
[3 , 1] , 18 , [0 , 0]
[4 , 5] , 33 , [0 , 4]
[5 , 2] , 29 , [1 , 7]
[5 , 2] , 29 , [1 , 7]
[5 , 0] , 19 , [0 , 0]
[1 , 7] , 40 , [0 , 4]
[0 , 4] , 24 , [1 , 7]
[3 , 5] , 45 , [7 , 4]
[0 , 7] , 33 , [0 , 4]
[2 , 6] , 36 , [0 , 4]
[3 , 6] , 33 , [7 , 7]
[3 , 4] , 24 , [0 , 7]
[1 , 7] , 40 , [0 , 4]
[6 , 3] , 25 , [1 , 7]
[4 , 0] , 28 , [1 , 7]
[3 , 6] , 33 , [7 , 7]
[0 , 0] , 28 , [1 , 7]
[1 , 1] , 27 , [0 , 7]
[7 , 0] , 28 , [0 , 7]
[2 , 4] , 46 , [0 , 4]
[1 , 5] , 40 , [0 , 4]
[6 , 7] , 35 , [1 , 7]
[2 , 3] , 25 , [1 , 7]
[1 , 3] , 25 , [0 , 7]
[5 , 2] , 29 , [1 , 7]
[6 , 1] , 27 , [1 , 7]
[1 , 6] , 29 , [0 , 4]
[7 , 0] , 28 , [0 , 7]
[0 , 2] , 26 , [1 , 7]
[1 , 6] , 29 , [0 , 4]
[7 , 2] , 26 , [0 , 7]
[4 , 2] , 26 , [1 , 7]
[4 , 3] , 35 , [0 , 4]
[4 , 5] , 33 , [0 , 4]
[6 , 1] , 27 , [1 , 7]
[6 , 0] , 28 , [0 , 4]
[4 , 7] , 33 , [0 , 4]
[2 , 3] , 25 , [1 , 7]
[0 , 7] , 33 , [0 , 4]
[5 , 7] , 40 , [0 , 4]
[2 , 7] , 35 , [1 , 7]
[3 , 3] , 34 , [1 , 7]
[3 , 5] , 45 , [7 , 4]
[0 , 4] , 24 , [1 , 7]
[1 , 3] , 25 , [0 , 7]
[7 , 2] , 26 , [0 , 7]
[6 , 0] , 28 , [0 , 4]
[2 , 5] , 35 , [1 , 7]
[5 , 2] , 29 , [1 , 7]
[3 , 7] , 45 , [7 , 4]
[3 , 2] , 26 , [0 , 7]
[3 , 5] , 45 , [7 , 4]
[5 , 3] , 25 , [0 , 7]
[1 , 0] , 19 , [0 , 0]
[2 , 4] , 46 , [0 , 4]
[0 , 7] , 33 , [0 , 4]
[6 , 3] , 25 , [1 , 7]
[6 , 6] , 34 , [0 , 4]
[7 , 4] , 40 , [4 , 7]
[3 , 2] , 26 , [0 , 7]
[4 , 4] , 24 , [1 , 7]
[3 , 1] , 18 , [0 , 0]
[2 , 0] , 28 , [0 , 4]
[4 , 1] , 27 , [0 , 4]
[1 , 7] , 40 , [0 , 4]
[5 , 3] , 25 , [0 , 7]
[2 , 5] , 35 , [1 , 7]
[4 , 5] , 33 , [0 , 4]
[3 , 4] , 24 , [0 , 7]
[2 , 1] , 27 , [1 , 7]
[5 , 1] , 27 , [0 , 7]
[5 , 5] , 40 , [0 , 4]
[0 , 4] , 24 , [1 , 7]
[5 , 4] , 27 , [1 , 7]
[7 , 7] , 45 , [7 , 4]
[7 , 1] , 30 , [1 , 7]
[4 , 6] , 34 , [1 , 7]
[7 , 3] , 28 , [1 , 7]
[1 , 4] , 27 , [1 , 7]
[2 , 6] , 36 , [0 , 4]
[1 , 6] , 29 , [0 , 4]
[5 , 7] , 40 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
[0 , 3] , 35 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
[1 , 2] , 29 , [1 , 7]
[2 , 0] , 28 , [0 , 4]
[7 , 6] , 40 , [4 , 7]
[6 , 1] , 27 , [1 , 7]
[7 , 1] , 30 , [1 , 7]
[4 , 3] , 35 , [0 , 4]
[5 , 6] , 29 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
[7 , 0] , 28 , [0 , 7]
[3 , 7] , 45 , [7 , 4]
[7 , 4] , 40 , [4 , 7]
[4 , 5] , 33 , [0 , 4]
[4 , 1] , 27 , [0 , 4]
[3 , 3] , 34 , [1 , 7]
[4 , 6] , 34 , [1 , 7]
[6 , 5] , 35 , [1 , 7]
[7 , 0] , 28 , [0 , 7]
[2 , 0] , 28 , [0 , 4]
[5 , 3] , 25 , [0 , 7]
[1 , 4] , 27 , [1 , 7]
[7 , 4] , 40 , [4 , 7]
[2 , 4] , 46 , [0 , 4]
[7 , 6] , 40 , [4 , 7]
[1 , 3] , 25 , [0 , 7]
[4 , 4] , 24 , [1 , 7]
[4 , 7] , 33 , [0 , 4]
[3 , 0] , 28 , [0 , 7]
[0 , 7] , 33 , [0 , 4]
[7 , 6] , 40 , [4 , 7]
[2 , 1] , 27 , [1 , 7]
[7 , 0] , 28 , [0 , 7]
[7 , 1] , 30 , [1 , 7]
[5 , 6] , 29 , [0 , 4]
[2 , 6] , 36 , [0 , 4]
[4 , 5] , 33 , [0 , 4]
[0 , 2] , 26 , [1 , 7]
[2 , 5] , 35 , [1 , 7]
[2 , 0] , 28 , [0 , 4]
[3 , 0] , 28 , [0 , 7]
[3 , 4] , 24 , [0 , 7]
[0 , 7] , 33 , [0 , 4]
[3 , 6] , 33 , [7 , 7]
[2 , 4] , 46 , [0 , 4]
[5 , 6] , 29 , [0 , 4]
[2 , 4] , 46 , [0 , 4]
[2 , 2] , 43 , [7 , 4]
[0 , 0] , 28 , [1 , 7]
[1 , 3] , 25 , [0 , 7]
[1 , 2] , 29 , [1 , 7]
[0 , 0] , 28 , [1 , 7]
[6 , 7] , 35 , [1 , 7]
[1 , 1] , 27 , [0 , 7]
[2 , 7] , 35 , [1 , 7]
[1 , 6] , 29 , [0 , 4]
[2 , 7] , 35 , [1 , 7]
[4 , 0] , 28 , [1 , 7]
[6 , 4] , 34 , [0 , 4]
[5 , 6] , 29 , [0 , 4]
[2 , 0] , 28 , [0 , 4]
[6 , 5] , 35 , [1 , 7]
[4 , 4] , 24 , [1 , 7]
[7 , 1] , 30 , [1 , 7]
[0 , 4] , 24 , [1 , 7]
[5 , 5] , 40 , [0 , 4]
[1 , 0] , 19 , [0 , 0]
[4 , 6] , 34 , [1 , 7]
[2 , 6] , 36 , [0 , 4]
[5 , 4] , 27 , [1 , 7]
[7 , 3] , 28 , [1 , 7]
[5 , 5] , 40 , [0 , 4]
[0 , 0] , 28 , [1 , 7]
[1 , 1] , 27 , [0 , 7]
[4 , 5] , 33 , [0 , 4]
[3 , 3] , 34 , [1 , 7]
[3 , 1] , 18 , [0 , 0]
[2 , 5] , 35 , [1 , 7]
[1 , 5] , 40 , [0 , 4]
[4 , 4] , 24 , [1 , 7]
[5 , 6] , 29 , [0 , 4]
[6 , 3] , 25 , [1 , 7]
[6 , 2] , 36 , [0 , 4]
[0 , 5] , 33 , [0 , 4]
[4 , 3] , 35 , [0 , 4]
[0 , 1] , 27 , [0 , 4]
[6 , 4] , 34 , [0 , 4]
[7 , 6] , 40 , [4 , 7]
[2 , 4] , 46 , [0 , 4]
[3 , 3] , 34 , [1 , 7]
[4 , 5] , 33 , [0 , 4]
[3 , 5] , 45 , [7 , 4]
[3 , 3] , 34 , [1 , 7]
[0 , 1] , 27 , [0 , 4]
[7 , 5] , 45 , [7 , 4]
[2 , 3] , 25 , [1 , 7]
[5 , 7] , 40 , [0 , 4]
[2 , 6] , 36 , [0 , 4]
[1 , 6] , 29 , [0 , 4]
[7 , 0] , 28 , [0 , 7]
[6 , 0] , 28 , [0 , 4]
[3 , 3] , 34 , [1 , 7]
[1 , 2] , 29 , [1 , 7]
[4 , 5] , 33 , [0 , 4]
[1 , 5] , 40 , [0 , 4]
[2 , 7] , 35 , [1 , 7]
[4 , 3] , 35 , [0 , 4]
[2 , 5] , 35 , [1 , 7]
[0 , 5] , 33 , [0 , 4]
[0 , 1] , 27 , [0 , 4]
[6 , 1] , 27 , [1 , 7]
[4 , 1] , 27 , [0 , 4]
[4 , 4] , 24 , [1 , 7]
[1 , 6] , 29 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
[3 , 2] , 26 , [0 , 7]
[0 , 4] , 24 , [1 , 7]
[1 , 5] , 40 , [0 , 4]
[5 , 1] , 27 , [0 , 7]
[4 , 5] , 33 , [0 , 4]
[0 , 5] , 33 , [0 , 4]
[0 , 3] , 35 , [0 , 4]
[7 , 4] , 40 , [4 , 7]
[2 , 7] , 35 , [1 , 7]
[5 , 4] , 27 , [1 , 7]
[3 , 2] , 26 , [0 , 7]
[5 , 5] , 40 , [0 , 4]
[5 , 4] , 27 , [1 , 7]
[2 , 6] , 36 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
[6 , 7] , 35 , [1 , 7]
[2 , 5] , 35 , [1 , 7]
[7 , 7] , 45 , [7 , 4]
[4 , 4] , 24 , [1 , 7]
[1 , 3] , 25 , [0 , 7]
[4 , 6] , 34 , [1 , 7]
[4 , 2] , 26 , [1 , 7]
[3 , 6] , 33 , [7 , 7]
[7 , 7] , 45 , [7 , 4]
[4 , 2] , 26 , [1 , 7]
[2 , 1] , 27 , [1 , 7]
[3 , 2] , 26 , [0 , 7]
[4 , 0] , 28 , [1 , 7]
[5 , 2] , 29 , [1 , 7]
[7 , 2] , 26 , [0 , 7]
[5 , 2] , 29 , [1 , 7]
[4 , 5] , 33 , [0 , 4]
[0 , 1] , 27 , [0 , 4]
[6 , 0] , 28 , [0 , 4]
[3 , 0] , 28 , [0 , 7]
[2 , 1] , 27 , [1 , 7]
[7 , 7] , 45 , [7 , 4]
[6 , 0] , 28 , [0 , 4]
[2 , 3] , 25 , [1 , 7]
[3 , 6] , 33 , [7 , 7]
[6 , 7] , 35 , [1 , 7]
[6 , 4] , 34 , [0 , 4]
[6 , 6] , 34 , [0 , 4]
[1 , 6] , 29 , [0 , 4]
[2 , 0] , 28 , [0 , 4]
[4 , 3] , 35 , [0 , 4]
[4 , 0] , 28 , [1 , 7]
[6 , 7] , 35 , [1 , 7]
[0 , 5] , 33 , [0 , 4]
[3 , 0] , 28 , [0 , 7]
[0 , 3] , 35 , [0 , 4]
[7 , 7] , 45 , [7 , 4]
